epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7445,1.74875,4.1237,1.74159,0.00222,0.8,0.00359,0.00196,1.14311,4.08081,1.29704,0,0,0
2,24.2415,1.57632,4.04754,1.68987,0.00222,0.8,0.00372,0.00224,1.14629,4.04261,1.26197,1.9604e-05,1.9604e-05,1.9604e-05
3,33.7795,1.67396,3.95807,1.60967,0.00222,0.8,0.00497,0.00262,1.09977,4.03802,1.20904,3.8416e-05,3.8416e-05,3.8416e-05
4,43.2456,1.19102,3.8368,1.44118,0.00222,0.8,0.00515,0.00296,1.0005,4.06329,1.17259,5.6436e-05,5.6436e-05,5.6436e-05
5,52.7449,1.38627,3.87118,1.44971,0.00222,0.8,0.00566,0.00327,0.9239,4.03874,1.12183,7.3664e-05,7.3664e-05,7.3664e-05
6,62.3131,1.20335,3.68378,1.32394,0.00278,1,0.00767,0.00375,0.92577,4.02805,1.06234,9.01e-05,9.01e-05,9.01e-05
7,71.8837,1.05103,3.31449,1.19277,0.00278,1,0.01069,0.00678,0.88016,4.00338,0.99055,0.000105744,0.000105744,0.000105744
8,81.2821,1.12189,3.35603,1.21395,0.00278,1,0.0148,0.01017,0.84255,3.93223,0.94573,0.000120596,0.000120596,0.000120596
9,91.1164,1.29594,3.06852,1.24669,0.00278,1,0.03868,0.01606,0.80611,3.93027,0.90816,0.000134656,0.000134656,0.000134656
10,100.853,1.1728,2.85875,1.13753,0.00278,1,0.10388,0.06333,0.79239,3.93658,0.86608,0.000147924,0.000147924,0.000147924
11,110.591,1.25108,2.54391,1.1794,0.00278,1,0.27956,0.13781,0.78423,3.78757,0.80887,0.0001604,0.0001604,0.0001604
12,119.794,1.18374,2.265,1.12268,0.00278,1,0.30538,0.25684,0.79829,3.62522,0.78336,0.000172084,0.000172084,0.000172084
13,129.31,1.23227,1.83731,1.15466,0.00278,1,0.38597,0.31233,0.79969,3.59045,0.76545,0.000182976,0.000182976,0.000182976
14,138.966,1.13214,1.65872,1.12366,0.00278,1,0.4313,0.33475,0.80196,3.50599,0.80164,0.000193076,0.000193076,0.000193076
15,148.899,1.09489,1.96106,1.1586,0.00278,1,0.49135,0.38125,0.85908,3.44038,0.84017,0.000202384,0.000202384,0.000202384
16,158.519,1.12104,2.47374,1.17606,0.00278,1,0.5165,0.41882,0.88943,3.48986,0.84552,0.0002109,0.0002109,0.0002109
17,168.361,1.03844,1.83913,1.0983,0.00278,1,0.51795,0.40209,0.87651,3.50001,0.83684,0.000218624,0.000218624,0.000218624
18,177.819,1.02006,1.67734,1.09761,0.00278,1,0.51795,0.40209,0.87651,3.50001,0.83684,0.000225556,0.000225556,0.000225556
19,187.7,1.10689,1.8024,1.13814,0.00278,1,0.45127,0.34874,0.85639,3.55295,0.84645,0.000231696,0.000231696,0.000231696
20,197.179,1.15173,1.59109,1.11358,0.00278,1,0.45127,0.34874,0.85639,3.55295,0.84645,0.000237044,0.000237044,0.000237044
21,207.422,1.12028,1.54996,1.07596,0.00278,1,0.45128,0.33581,0.83668,3.51832,0.89035,0.0002416,0.0002416,0.0002416
22,217.169,1.04469,1.77186,1.09527,0.00278,1,0.45128,0.33581,0.83668,3.51832,0.89035,0.000245364,0.000245364,0.000245364
23,227.155,0.95415,1.4339,1.00137,0.00278,1,0.41688,0.25825,0.83708,3.54228,0.92252,0.000248336,0.000248336,0.000248336
24,237.071,0.86048,1.54422,1.02982,0.00278,1,0.41688,0.25825,0.83708,3.54228,0.92252,0.000250516,0.000250516,0.000250516
25,246.837,0.99688,1.6677,1.04713,0.00278,1,0.3404,0.1998,0.79478,3.65976,0.95277,0.000251904,0.000251904,0.000251904
26,256.619,0.89471,1.28799,1.00281,0.00278,1,0.3404,0.1998,0.79478,3.65976,0.95277,0.0002525,0.0002525,0.0002525
27,266.427,0.88753,1.46028,1.03325,0.00278,1,0.33274,0.16718,0.77576,3.68823,0.96241,0.000252304,0.000252304,0.000252304
28,276.388,1.0129,1.47152,1.08904,0.00278,1,0.33274,0.16718,0.77576,3.68823,0.96241,0.000251316,0.000251316,0.000251316
29,286.319,0.96916,1.30447,1.05567,0.00278,1,0.26605,0.16673,0.79103,3.66361,0.97731,0.000249536,0.000249536,0.000249536
30,296.927,0.89841,1.19501,0.99783,0.00278,1,0.26605,0.16673,0.79103,3.66361,0.97731,0.000246964,0.000246964,0.000246964
31,306.646,0.78045,1.26313,0.96608,0.00278,1,0.29937,0.17014,0.81517,3.64045,0.98705,0.0002436,0.0002436,0.0002436
32,316.031,0.82701,1.31128,1.01989,0.00278,1,0.29937,0.17014,0.81517,3.64045,0.98705,0.000239444,0.000239444,0.000239444
33,325.492,0.93955,1.37891,1.04388,0.00278,1,0.39995,0.23993,0.84162,3.59717,0.99354,0.000234496,0.000234496,0.000234496
34,336.185,0.82327,1.15175,0.99217,0.00278,1,0.39995,0.23993,0.84162,3.59717,0.99354,0.000228756,0.000228756,0.000228756
