epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3973,2.05393,4.79523,1.89674,0.00222,0.8,0.0057,0.00412,1.30284,4.1117,1.28057,0,0,0
2,180.039,1.76831,5.01474,1.80761,0.00222,0.8,0.04671,0.03545,1.18711,3.52636,1.23631,1.9901e-05,1.9901e-05,1.9901e-05
3,267.946,1.78033,4.02413,1.72507,0.54841,0.6,0.45629,0.37214,1.05924,2.82903,1.17942,3.9604e-05,3.9604e-05,3.9604e-05
4,350.045,1.231,2.73555,1.42289,0.66334,0.8,0.58144,0.50949,0.90177,3.10548,1.06384,5.9109e-05,5.9109e-05,5.9109e-05
5,425.231,1.40474,2.55031,1.42439,0.53523,0.8,0.64747,0.49794,0.87962,5.02056,1.04544,7.8416e-05,7.8416e-05,7.8416e-05
6,502.467,1.1558,1.66887,1.28085,0.49989,0.2,0.30557,0.18801,1.12777,5.04773,1.161,9.7525e-05,9.7525e-05,9.7525e-05
7,580.629,1.06968,1.70848,1.26611,0.59633,0.4,0.42179,0.23638,1.29446,3.06269,1.24666,0.000116436,0.000116436,0.000116436
8,669.259,1.12592,1.36522,1.26314,0.94771,0.4,0.49004,0.28838,1.26657,2.43392,1.15927,0.000135149,0.000135149,0.000135149
9,758.346,1.2771,1.21628,1.2873,0.04092,0.8,0.03569,0.02565,1.07308,17.2609,1.05292,0.000153664,0.000153664,0.000153664
10,873.381,1.09625,0.97602,1.13463,0.98631,0.8,0.82833,0.65086,0.87872,1.07624,0.97847,0.000171981,0.000171981,0.000171981
11,1005.53,1.08306,0.96297,1.1534,0.98153,0.8,0.86643,0.69583,0.80826,0.97802,0.9555,0.0001901,0.0001901,0.0001901
12,1123.18,1.05606,0.93142,1.08547,1,0.76163,0.83346,0.64788,0.81641,1.41714,0.95432,0.000208021,0.000208021,0.000208021
13,1219.48,1.08829,0.86259,1.14109,1,0.59154,0.82643,0.62408,0.89717,1.38647,0.97798,0.000225744,0.000225744,0.000225744
14,1346.3,0.9445,0.84296,1.08553,0.81431,1,0.895,0.6611,0.94446,1.33175,0.98363,0.000243269,0.000243269,0.000243269
15,1460.25,0.95926,1.02775,1.05301,1,0.97431,0.995,0.73861,0.94634,0.98427,0.9998,0.000260596,0.000260596,0.000260596
16,1577.5,1.03507,1.43291,1.17526,0.98891,0.8,0.90611,0.75225,0.84992,1.05744,0.98742,0.000277725,0.000277725,0.000277725
17,1688.59,0.98374,1.53423,1.10997,1,0.59339,0.73212,0.58791,0.90894,1.58433,1.03325,0.000294656,0.000294656,0.000294656
18,1815.88,0.86669,1.01359,1.06997,1,0.59339,0.73212,0.58791,0.90894,1.58433,1.03325,0.000311389,0.000311389,0.000311389
19,1942.88,0.93748,1.12077,1.11621,0.98569,0.4,0.46681,0.31483,1.15833,2.62449,1.23994,0.000327924,0.000327924,0.000327924
20,2058.53,0.87618,1.18155,1.08341,0.98569,0.4,0.46681,0.31483,1.15833,2.62449,1.23994,0.000344261,0.000344261,0.000344261
21,2181.94,1.00762,1.14411,1.11623,1,0.77567,0.80401,0.35855,1.4258,2.21234,1.59341,0.0003604,0.0003604,0.0003604
22,2325.14,0.94243,0.83209,1.13207,1,0.77567,0.80401,0.35855,1.4258,2.21234,1.59341,0.000376341,0.000376341,0.000376341
23,2376.21,0.88611,0.76875,1.01811,0.75475,0.8,0.88,0.46975,1.52626,3.51155,1.78765,0.000392084,0.000392084,0.000392084
24,2420.62,0.72907,0.73034,0.99465,0.75475,0.8,0.88,0.46975,1.52626,3.51155,1.78765,0.000407629,0.000407629,0.000407629
25,2479.28,0.85603,1.04563,1.04089,0.78487,1,0.96167,0.49938,1.43258,1.40999,1.61127,0.000422976,0.000422976,0.000422976
26,2538.41,0.74724,0.6915,0.95368,0.78487,1,0.96167,0.49938,1.43258,1.40999,1.61127,0.000438125,0.000438125,0.000438125
27,2597.11,0.90001,0.82584,1.06417,0.70301,0.95263,0.82357,0.55258,1.32044,1.28348,1.41446,0.000453076,0.000453076,0.000453076
28,2650.52,0.77028,0.80837,0.99826,0.70301,0.95263,0.82357,0.55258,1.32044,1.28348,1.41446,0.000467829,0.000467829,0.000467829
29,2708.81,0.68696,0.66017,0.95971,0.9152,0.8,0.96167,0.663,1.18281,1.12137,1.25535,0.000482384,0.000482384,0.000482384
30,2761.58,0.78707,0.62361,0.9932,0.9152,0.8,0.96167,0.663,1.18281,1.12137,1.25535,0.000496741,0.000496741,0.000496741
31,2831.68,0.75036,0.68996,0.9999,0.72689,0.6,0.557,0.36296,1.38543,2.21229,1.64968,0.0005109,0.0005109,0.0005109
32,2881.92,0.77402,0.8205,1.03698,0.72689,0.6,0.557,0.36296,1.38543,2.21229,1.64968,0.000524861,0.000524861,0.000524861
33,2946.39,0.83725,1.06301,1.07966,0.41705,0.57581,0.31938,0.14852,1.9941,6.68902,2.47759,0.000538624,0.000538624,0.000538624
34,2999.11,0.76906,0.8022,1.04912,0.41705,0.57581,0.31938,0.14852,1.9941,6.68902,2.47759,0.000552189,0.000552189,0.000552189
35,3055.37,0.85786,0.79084,1.17056,0.62236,0.4,0.27159,0.17204,1.62181,3.18033,1.77117,0.000565556,0.000565556,0.000565556
36,3109.22,0.87339,0.73559,1.08594,0.62236,0.4,0.27159,0.17204,1.62181,3.18033,1.77117,0.000578725,0.000578725,0.000578725
37,3166.2,1.07854,0.72681,1.17812,0.09012,0.2,0.04,0.02949,1.63386,7.62856,1.58851,0.000591696,0.000591696,0.000591696
